54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,45,45,5,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,8,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,8,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
60,61,49,64,41,59,11,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,8,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
62,63,49,64,41,2,65,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,79,79,79,79,79,79,79,79,79,79,79,79
56,61,49,1,58,59,11,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,45,75,5,79,79,79,79,79,79,79,79,79,79,79,79
56,57,48,1,58,59,11,79,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,2,65,5,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,79,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
60,63,12,64,58,59,11,79,79,79,79,79,79,79,79,79,79,79,79,79
60,61,49,64,41,2,11,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,64,73,2,5,8,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,45,45,5,79,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,8,79,79,79,79,79,79,79,79,79,79,79
69,70,71,64,73,74,75,5,79,79,79,79,79,79,79,79,79,79,79,79
56,48,49,1,58,59,11,79,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,45,5,5,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
62,63,12,64,41,2,65,66,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,8,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
62,63,49,64,41,2,65,66,79,79,79,79,79,79,79,79,79,79,79,79
60,12,49,64,58,59,11,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,68,45,5,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,68,45,5,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,8,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
67,6,7,68,45,45,11,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
62,63,12,64,41,2,65,66,79,79,79,79,79,79,79,79,79,79,79,79
62,63,12,64,41,2,65,66,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
47,51,9,14,52,8,4,53,79,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,71,72,73,74,75,5,8,79,79,79,79,79,79,79,79,79,79,79
54,48,49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
69,70,7,72,73,74,75,5,79,79,79,79,79,79,79,79,79,79,79,79
